V_prior,alpha_prior,beta_prior,sigma_true,sd_epsilon,infer_eps,eps_fixed
1.0,1.0,0.1,0.1,0.1,True,
1.0,1.0,0.1,0.2,0.1,True,
1.0,1.0,0.1,0.3,0.1,True,
1.0,1.0,0.1,0.5,0.1,True,
1.0,1.0,0.1,0.1,1.0,True,
1.0,1.0,0.1,0.2,1.0,True,
1.0,1.0,0.1,0.3,1.0,True,
1.0,1.0,0.1,0.5,1.0,True,
1.0,1.0,1.0,0.1,0.1,True,
1.0,1.0,1.0,0.2,0.1,True,
1.0,1.0,1.0,0.3,0.1,True,
1.0,1.0,1.0,0.5,0.1,True,
1.0,1.0,1.0,0.1,1.0,True,
1.0,1.0,1.0,0.2,1.0,True,
1.0,1.0,1.0,0.3,1.0,True,
1.0,1.0,1.0,0.5,1.0,True,
1.0,10.0,0.1,0.1,0.1,True,
1.0,10.0,0.1,0.2,0.1,True,
1.0,10.0,0.1,0.3,0.1,True,
1.0,10.0,0.1,0.5,0.1,True,
1.0,10.0,0.1,0.1,1.0,True,
1.0,10.0,0.1,0.2,1.0,True,
1.0,10.0,0.1,0.3,1.0,True,
1.0,10.0,0.1,0.5,1.0,True,
1.0,10.0,1.0,0.1,0.1,True,
1.0,10.0,1.0,0.2,0.1,True,
1.0,10.0,1.0,0.3,0.1,True,
1.0,10.0,1.0,0.5,0.1,True,
1.0,10.0,1.0,0.1,1.0,True,
1.0,10.0,1.0,0.2,1.0,True,
1.0,10.0,1.0,0.3,1.0,True,
1.0,10.0,1.0,0.5,1.0,True,
3.0,1.0,0.1,0.1,0.1,True,
3.0,1.0,0.1,0.2,0.1,True,
3.0,1.0,0.1,0.3,0.1,True,
3.0,1.0,0.1,0.5,0.1,True,
3.0,1.0,0.1,0.1,0.5,True,
3.0,1.0,0.1,0.2,0.5,True,
3.0,1.0,0.1,0.3,0.5,True,
3.0,1.0,0.1,0.5,0.5,True,
3.0,1.0,0.1,0.1,1.0,True,
3.0,1.0,0.1,0.2,1.0,True,
3.0,1.0,0.1,0.3,1.0,True,
3.0,1.0,0.1,0.5,1.0,True,
3.0,1.0,1.0,0.1,0.1,True,
3.0,1.0,1.0,0.2,0.1,True,
3.0,1.0,1.0,0.3,0.1,True,
3.0,1.0,1.0,0.5,0.1,True,
3.0,1.0,1.0,0.1,0.5,True,
3.0,1.0,1.0,0.2,0.5,True,
3.0,1.0,1.0,0.3,0.5,True,
3.0,1.0,1.0,0.5,0.5,True,
3.0,1.0,1.0,0.1,1.0,True,
3.0,1.0,1.0,0.2,1.0,True,
3.0,1.0,1.0,0.3,1.0,True,
3.0,1.0,1.0,0.5,1.0,True,
3.0,10.0,0.1,0.1,0.1,True,
3.0,10.0,0.1,0.2,0.1,True,
3.0,10.0,0.1,0.3,0.1,True,
3.0,10.0,0.1,0.5,0.1,True,
3.0,10.0,0.1,0.1,0.5,True,
3.0,10.0,0.1,0.2,0.5,True,
3.0,10.0,0.1,0.3,0.5,True,
3.0,10.0,0.1,0.5,0.5,True,
3.0,10.0,0.1,0.1,1.0,True,
3.0,10.0,0.1,0.2,1.0,True,
3.0,10.0,0.1,0.3,1.0,True,
3.0,10.0,0.1,0.5,1.0,True,
3.0,10.0,1.0,0.1,0.1,True,
3.0,10.0,1.0,0.2,0.1,True,
3.0,10.0,1.0,0.3,0.1,True,
3.0,10.0,1.0,0.5,0.1,True,
3.0,10.0,1.0,0.1,0.5,True,
3.0,10.0,1.0,0.2,0.5,True,
3.0,10.0,1.0,0.3,0.5,True,
3.0,10.0,1.0,0.5,0.5,True,
3.0,10.0,1.0,0.1,1.0,True,
3.0,10.0,1.0,0.2,1.0,True,
3.0,10.0,1.0,0.3,1.0,True,
3.0,10.0,1.0,0.5,1.0,True,
